"Code","Name","GO_u3_mean","GO_u3_SD","All_u3_mean","All_u3_SD","adj.pval_cds","adj.pval_u5","adj.pval_u3"
"GO:0033625","positive regulation of integrin activation",0.100267128408112,0.131218684069696,0.0520682672889619,0.0299725728070987,1,1,1.84970683029578e-10
"GO:0035722","interleukin-12-mediated signaling pathway",0.0741267027432387,0.0606119168864531,0.0520682672889619,0.0299725728070987,1,1,1.23710633668645e-11
"GO:0030183","B cell differentiation",0.0695559649728748,0.0331003946372756,0.0520682672889619,0.0299725728070987,1,1,1.11260340241388e-08
"GO:0002181","cytoplasmic translation",0.0695022532774624,0.0428226289242339,0.0520682672889619,0.0299725728070987,1,1,1.37012720277737e-14
"GO:0006614","SRP-dependent cotranslational protein 
 targeting to membrane",0.0692330131333097,0.0408462120557414,0.0520682672889619,0.0299725728070987,1,1,2.26948020930906e-16
"GO:0019083","viral transcription",0.0691465551795267,0.0405120562324397,0.0520682672889619,0.0299725728070987,1,1,1.14701186507477e-17
"GO:0001649","osteoblast differentiation",0.0674292295226172,0.0284191303848745,0.0520682672889619,0.0299725728070987,1,1,1.37902898948025e-09
"GO:0006413","translational initiation",0.0639441990556622,0.0371827339936415,0.0520682672889619,0.0299725728070987,1,1,1.52847390024477e-12
"GO:0007156","homophilic cell adhesion via plasma membrane
  adhesion molecules",0.0635821207418334,0.0388798124315063,0.0520682672889619,0.0299725728070987,1,0.000545158212285275,3.8650196136801e-12
"GO:0006357","regulation of transcription by RNA polymerase II",0.0570230769602827,0.0273240449177163,0.0520682672889619,0.0299725728070987,1,1,3.82278131779968e-22
